===================
	  Java项目分析报告
===================

1. 类 / 接口汇总
------------------
类 org.apache.commons.math4.core.jdkmath.AccurateMath   [50字段, 87方法, 注释率31%]
类 org.apache.commons.math4.legacy.linear.NonSymmetricMatrixException   [4字段, 3方法, 注释率44%]
类 org.apache.commons.math4.legacy.linear.OpenIntToDoubleHashMap   [15字段, 19方法, 注释率33%]
类 org.apache.commons.math4.legacy.linear.OpenIntToFieldHashMap   [16字段, 20方法, 注释率34%]
类 org.apache.commons.math4.legacy.linear.OpenMapRealMatrix   [4字段, 14方法, 注释率27%]
类 org.apache.commons.math4.legacy.linear.OpenMapRealVector   [5字段, 35方法, 注释率27%]
类 org.apache.commons.math4.legacy.linear.PreconditionedIterativeLinearSolver   [0字段, 7方法, 注释率53%]
类 org.apache.commons.math4.legacy.linear.QRDecomposition   [7字段, 7方法, 注释率33%]
类 org.apache.commons.math4.legacy.linear.RealLinearOperator   [0字段, 5方法, 注释率71%]
接口 org.apache.commons.math4.legacy.linear.RealMatrix   [0字段, 51方法, 注释率82%]
接口 org.apache.commons.math4.legacy.linear.RealMatrixChangingVisitor   [0字段, 3方法, 注释率73%]
类 org.apache.commons.math4.legacy.linear.RealMatrixFormat   [13字段, 14方法, 注释率37%]
接口 org.apache.commons.math4.legacy.linear.RealMatrixPreservingVisitor   [0字段, 3方法, 注释率72%]
类 org.apache.commons.math4.legacy.linear.RealVector   [0字段, 62方法, 注释率48%]
接口 org.apache.commons.math4.legacy.linear.RealVectorChangingVisitor   [0字段, 3方法, 注释率79%]
类 org.apache.commons.math4.legacy.linear.RealVectorFormat   [10字段, 11方法, 注释率41%]
接口 org.apache.commons.math4.legacy.linear.RealVectorPreservingVisitor   [0字段, 3方法, 注释率78%]
类 org.apache.commons.math4.legacy.linear.RectangularCholeskyDecomposition   [2字段, 2方法, 注释率34%]
类 org.apache.commons.math4.legacy.linear.RRQRDecomposition   [2字段, 5方法, 注释率41%]
类 org.apache.commons.math4.legacy.linear.SchurTransformer   [7字段, 9方法, 注释率27%]
类 org.apache.commons.math4.legacy.linear.SingularMatrixException   [1字段, 0方法, 注释率36%]
类 org.apache.commons.math4.legacy.linear.SingularOperatorException   [1字段, 0方法, 注释率33%]
类 org.apache.commons.math4.legacy.linear.SingularValueDecomposition   [12字段, 12方法, 注释率28%]
类 org.apache.commons.math4.legacy.linear.SparseFieldMatrix   [3字段, 9方法, 注释率28%]
类 org.apache.commons.math4.legacy.linear.SparseFieldVector   [4字段, 46方法, 注释率31%]
接口 org.apache.commons.math4.legacy.linear.SparseRealMatrix   [0字段, 0方法, 注释率0%]
类 org.apache.commons.math4.legacy.linear.SparseRealVector   [0字段, 0方法, 注释率0%]
类 org.apache.commons.math4.legacy.linear.SymmLQ   [7字段, 10方法, 注释率53%]
类 org.apache.commons.math4.legacy.linear.TriDiagonalTransformer   [6字段, 7方法, 注释率30%]
类 org.apache.commons.math4.legacy.ml.clustering.CentroidCluster   [1字段, 1方法, 注释率43%]
类 org.apache.commons.math4.legacy.ml.clustering.Cluster   [1字段, 3方法, 注释率34%]
接口 org.apache.commons.math4.legacy.ml.clustering.Clusterable   [0字段, 1方法, 注释率56%]
类 org.apache.commons.math4.legacy.ml.clustering.Clusterer   [1字段, 3方法, 注释率63%]
接口 org.apache.commons.math4.legacy.ml.clustering.ClusterEvaluator   [0字段, 3方法, 注释率65%]
接口 org.apache.commons.math4.legacy.ml.clustering.ClusterRanking   [0字段, 1方法, 注释率60%]
类 org.apache.commons.math4.legacy.ml.clustering.DBSCANClusterer   [2字段, 6方法, 注释率39%]
类 org.apache.commons.math4.legacy.ml.clustering.DoublePoint   [1字段, 4方法, 注释率34%]
类 org.apache.commons.math4.legacy.ml.clustering.ElkanKMeansPlusPlusClusterer   [0字段, 8方法, 注释率35%]
类 org.apache.commons.math4.legacy.ml.clustering.evaluation.CalinskiHarabasz   [0字段, 7方法, 注释率33%]
类 org.apache.commons.math4.legacy.ml.clustering.evaluation.SumOfClusterVariances   [1字段, 3方法, 注释率29%]
类 org.apache.commons.math4.legacy.ml.clustering.FuzzyKMeansClusterer   [9字段, 15方法, 注释率34%]
类 org.apache.commons.math4.legacy.ml.clustering.KMeansPlusPlusClusterer   [4字段, 12方法, 注释率36%]
类 org.apache.commons.math4.legacy.ml.clustering.MiniBatchKMeansClusterer   [4字段, 5方法, 注释率35%]
类 org.apache.commons.math4.legacy.ml.clustering.MultiKMeansPlusPlusClusterer   [3字段, 1方法, 注释率41%]
类 org.apache.commons.math4.legacy.ml.distance.CanberraDistance   [0字段, 1方法, 注释率7%]
类 org.apache.commons.math4.legacy.ml.distance.ChebyshevDistance   [0字段, 1方法, 注释率14%]
接口 org.apache.commons.math4.legacy.ml.distance.DistanceMeasure   [0字段, 1方法, 注释率73%]
类 org.apache.commons.math4.legacy.ml.distance.EarthMoversDistance   [0字段, 1方法, 注释率7%]
类 org.apache.commons.math4.legacy.ml.distance.EuclideanDistance   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.ml.distance.ManhattanDistance   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.ode.AbstractFieldIntegrator   [13字段, 28方法, 注释率29%]
类 org.apache.commons.math4.legacy.ode.AbstractIntegrator   [10字段, 23方法, 注释率29%]
类 org.apache.commons.math4.legacy.ode.AbstractParameterizable   [1字段, 3方法, 注释率29%]
类 org.apache.commons.math4.legacy.ode.ContinuousOutputFieldModel   [5字段, 8方法, 注释率25%]
类 org.apache.commons.math4.legacy.ode.ContinuousOutputModel   [6字段, 12方法, 注释率40%]
类 org.apache.commons.math4.legacy.ode.EquationsMapper   [3字段, 4方法, 注释率42%]
类 org.apache.commons.math4.legacy.ode.events.Action   [0字段, 0方法, 注释率70%]
类 org.apache.commons.math4.legacy.ode.events.EventFilter   [7字段, 4方法, 注释率30%]
接口 org.apache.commons.math4.legacy.ode.events.EventHandler   [0字段, 4方法, 注释率88%]
类 org.apache.commons.math4.legacy.ode.events.EventState   [15字段, 12方法, 注释率32%]
接口 org.apache.commons.math4.legacy.ode.events.FieldEventHandler   [0字段, 4方法, 注释率92%]
类 org.apache.commons.math4.legacy.ode.events.FieldEventState   [14字段, 10方法, 注释率34%]
类 org.apache.commons.math4.legacy.ode.events.FilterType   [0字段, 2方法, 注释率51%]
类 org.apache.commons.math4.legacy.ode.events.Transformer   [0字段, 1方法, 注释率50%]
类 org.apache.commons.math4.legacy.ode.ExpandableStatefulODE   [6字段, 16方法, 注释率38%]
类 org.apache.commons.math4.legacy.ode.FieldEquationsMapper   [2字段, 8方法, 注释率34%]
类 org.apache.commons.math4.legacy.ode.FieldExpandableODE   [3字段, 4方法, 注释率37%]
类 org.apache.commons.math4.legacy.ode.FieldODEState   [3字段, 7方法, 注释率45%]
类 org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative   [2字段, 2方法, 注释率53%]
接口 org.apache.commons.math4.legacy.ode.FieldSecondaryEquations   [0字段, 3方法, 注释率72%]
类 org.apache.commons.math4.legacy.ode.FirstOrderConverter   [5字段, 2方法, 注释率37%]
接口 org.apache.commons.math4.legacy.ode.FirstOrderDifferentialEquations   [0字段, 2方法, 注释率59%]
接口 org.apache.commons.math4.legacy.ode.FirstOrderFieldDifferentialEquations   [0字段, 3方法, 注释率69%]
接口 org.apache.commons.math4.legacy.ode.FirstOrderFieldIntegrator   [0字段, 14方法, 注释率76%]
接口 org.apache.commons.math4.legacy.ode.FirstOrderIntegrator   [0字段, 1方法, 注释率74%]
类 org.apache.commons.math4.legacy.ode.JacobianMatrices   [10字段, 9方法, 注释率33%]
接口 org.apache.commons.math4.legacy.ode.MainStateJacobianProvider   [0字段, 1方法, 注释率62%]
类 org.apache.commons.math4.legacy.ode.MultistepFieldIntegrator   [8字段, 13方法, 注释率41%]
类 org.apache.commons.math4.legacy.ode.MultistepIntegrator   [8字段, 12方法, 注释率40%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdamsBashforthFieldIntegrator   [1字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdamsBashforthIntegrator   [1字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdamsFieldIntegrator   [1字段, 4方法, 注释率55%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdamsFieldStepInterpolator   [4字段, 3方法, 注释率36%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdamsIntegrator   [1字段, 4方法, 注释率55%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdamsMoultonFieldIntegrator   [1字段, 1方法, 注释率29%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdamsMoultonIntegrator   [1字段, 1方法, 注释率28%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdamsNordsieckFieldTransformer   [4字段, 5方法, 注释率38%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdamsNordsieckTransformer   [3字段, 6方法, 注释率37%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdaptiveStepsizeFieldIntegrator   [8字段, 9方法, 注释率37%]
类 org.apache.commons.math4.legacy.ode.nonstiff.AdaptiveStepsizeIntegrator   [8字段, 11方法, 注释率37%]
类 org.apache.commons.math4.legacy.ode.nonstiff.ClassicalRungeKuttaFieldIntegrator   [0字段, 4方法, 注释率15%]
类 org.apache.commons.math4.legacy.ode.nonstiff.ClassicalRungeKuttaFieldStepInterpolator   [0字段, 2方法, 注释率16%]
类 org.apache.commons.math4.legacy.ode.nonstiff.ClassicalRungeKuttaIntegrator   [3字段, 0方法, 注释率28%]
类 org.apache.commons.math4.legacy.ode.nonstiff.ClassicalRungeKuttaStepInterpolator   [1字段, 2方法, 注释率26%]
类 org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince54FieldIntegrator   [7字段, 6方法, 注释率21%]
类 org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince54FieldStepInterpolator   [11字段, 2方法, 注释率12%]
类 org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince54Integrator   [10字段, 2方法, 注释率32%]
类 org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince54StepInterpolator   [17字段, 4方法, 注释率23%]
类 org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853FieldIntegrator   [17字段, 6方法, 注释率13%]
类 org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853FieldStepInterpolator   [1字段, 3方法, 注释率12%]
类 org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853Integrator   [20字段, 2方法, 注释率26%]
类 org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853StepInterpolator   [46字段, 7方法, 注释率19%]
类 org.apache.commons.math4.legacy.ode.nonstiff.EmbeddedRungeKuttaFieldIntegrator   [8字段, 12方法, 注释率30%]
类 org.apache.commons.math4.legacy.ode.nonstiff.EmbeddedRungeKuttaIntegrator   [9字段, 9方法, 注释率27%]
类 org.apache.commons.math4.legacy.ode.nonstiff.EulerFieldIntegrator   [0字段, 4方法, 注释率20%]
类 org.apache.commons.math4.legacy.ode.nonstiff.EulerFieldStepInterpolator   [0字段, 2方法, 注释率21%]
类 org.apache.commons.math4.legacy.ode.nonstiff.EulerIntegrator   [3字段, 0方法, 注释率30%]
类 org.apache.commons.math4.legacy.ode.nonstiff.EulerStepInterpolator   [1字段, 2方法, 注释率39%]
接口 org.apache.commons.math4.legacy.ode.nonstiff.FieldButcherArrayProvider   [0字段, 3方法, 注释率53%]
类 org.apache.commons.math4.legacy.ode.nonstiff.GillFieldIntegrator   [0字段, 4方法, 注释率13%]
类 org.apache.commons.math4.legacy.ode.nonstiff.GillFieldStepInterpolator   [2字段, 2方法, 注释率16%]
类 org.apache.commons.math4.legacy.ode.nonstiff.GillIntegrator   [3字段, 0方法, 注释率26%]
类 org.apache.commons.math4.legacy.ode.nonstiff.GillStepInterpolator   [3字段, 2方法, 注释率25%]
类 org.apache.commons.math4.legacy.ode.nonstiff.GraggBulirschStoerIntegrator   [19字段, 11方法, 注释率25%]
类 org.apache.commons.math4.legacy.ode.nonstiff.GraggBulirschStoerStepInterpolator   [8字段, 7方法, 注释率20%]
类 org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54FieldIntegrator   [2字段, 6方法, 注释率20%]
类 org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54FieldStepInterpolator   [0字段, 2方法, 注释率15%]
类 org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54Integrator   [5字段, 2方法, 注释率30%]
类 org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54StepInterpolator   [1字段, 2方法, 注释率24%]
类 org.apache.commons.math4.legacy.ode.nonstiff.LutherFieldIntegrator   [0字段, 4方法, 注释率10%]
类 org.apache.commons.math4.legacy.ode.nonstiff.LutherFieldStepInterpolator   [14字段, 2方法, 注释率36%]
类 org.apache.commons.math4.legacy.ode.nonstiff.LutherIntegrator   [4字段, 0方法, 注释率24%]
类 org.apache.commons.math4.legacy.ode.nonstiff.LutherStepInterpolator   [2字段, 2方法, 注释率43%]
类 org.apache.commons.math4.legacy.ode.nonstiff.MidpointFieldIntegrator   [0字段, 4方法, 注释率18%]
类 org.apache.commons.math4.legacy.ode.nonstiff.MidpointFieldStepInterpolator   [0字段, 2方法, 注释率18%]
类 org.apache.commons.math4.legacy.ode.nonstiff.MidpointIntegrator   [3字段, 0方法, 注释率28%]
类 org.apache.commons.math4.legacy.ode.nonstiff.MidpointStepInterpolator   [1字段, 2方法, 注释率32%]
类 org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldIntegrator   [4字段, 4方法, 注释率30%]
类 org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator   [2字段, 6方法, 注释率37%]
类 org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaIntegrator   [5字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator   [3字段, 4方法, 注释率38%]
类 org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesFieldIntegrator   [0字段, 4方法, 注释率15%]
类 org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesFieldStepInterpolator   [0字段, 2方法, 注释率16%]
类 org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesIntegrator   [3字段, 0方法, 注释率26%]
类 org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesStepInterpolator   [1字段, 2方法, 注释率26%]
接口 org.apache.commons.math4.legacy.ode.ODEIntegrator   [0字段, 13方法, 注释率75%]
类 org.apache.commons.math4.legacy.ode.ParameterConfiguration   [3字段, 3方法, 注释率39%]
接口 org.apache.commons.math4.legacy.ode.Parameterizable   [0字段, 2方法, 注释率63%]
接口 org.apache.commons.math4.legacy.ode.ParameterizedODE   [0字段, 2方法, 注释率63%]
类 org.apache.commons.math4.legacy.ode.ParameterizedWrapper   [1字段, 6方法, 注释率31%]
接口 org.apache.commons.math4.legacy.ode.ParameterJacobianProvider   [0字段, 1方法, 注释率71%]
类 org.apache.commons.math4.legacy.ode.ParameterJacobianWrapper   [3字段, 3方法, 注释率20%]
类 org.apache.commons.math4.legacy.ode.sampling.AbstractFieldStepInterpolator   [6字段, 9方法, 注释率43%]
类 org.apache.commons.math4.legacy.ode.sampling.AbstractStepInterpolator   [18字段, 27方法, 注释率37%]
类 org.apache.commons.math4.legacy.ode.sampling.DummyStepHandler   [0字段, 4方法, 注释率55%]
接口 org.apache.commons.math4.legacy.ode.sampling.FieldFixedStepHandler   [0字段, 2方法, 注释率77%]
接口 org.apache.commons.math4.legacy.ode.sampling.FieldStepHandler   [0字段, 2方法, 注释率78%]
接口 org.apache.commons.math4.legacy.ode.sampling.FieldStepInterpolator   [0字段, 4方法, 注释率73%]
类 org.apache.commons.math4.legacy.ode.sampling.FieldStepNormalizer   [7字段, 4方法, 注释率40%]
接口 org.apache.commons.math4.legacy.ode.sampling.FixedStepHandler   [0字段, 2方法, 注释率81%]
类 org.apache.commons.math4.legacy.ode.sampling.NordsieckStepInterpolator   [6字段, 8方法, 注释率30%]
接口 org.apache.commons.math4.legacy.ode.sampling.StepHandler   [0字段, 2方法, 注释率79%]
接口 org.apache.commons.math4.legacy.ode.sampling.StepInterpolator   [0字段, 10方法, 注释率83%]
类 org.apache.commons.math4.legacy.ode.sampling.StepNormalizer   [9字段, 5方法, 注释率39%]
类 org.apache.commons.math4.legacy.ode.sampling.StepNormalizerBounds   [2字段, 2方法, 注释率53%]
类 org.apache.commons.math4.legacy.ode.sampling.StepNormalizerMode   [0字段, 0方法, 注释率88%]
接口 org.apache.commons.math4.legacy.ode.SecondaryEquations   [0字段, 2方法, 注释率60%]
接口 org.apache.commons.math4.legacy.ode.SecondOrderDifferentialEquations   [0字段, 2方法, 注释率65%]
